ID,TARGET_LifeExpectancy,Country,Year,Company_Status,Company_Confidence,Company_device_confidence,Device_confidence,Device_returen,Test_Fail,PercentageExpenditure,Engine_Cooling,Gas_Pressure,Obsolescence,ISO_23,TotalExpenditure,STRD_DTP,Engine_failure,GDP,Product_Quantity,Engine_failure_Prevalence,Leakage_Prevalence,IncomeCompositionOfResources,RD
46,70.9,9,2004,0,145,134,156,20,0.36,148.5119843,5862,46.1,23,86,3.73,86,0.1,1987.26,3199546,6.3,6.2,0.653,3.33166625
47,76.7,9,2003,0,145,140,150,20,0.23,147.9860714,2686,45.3,24,89,3.84,89,0.1,1940.8,31592153,6.4,6.3,0.644,3.301514804
48,71.4,9,2002,0,145,134,156,21,0.25,154.4559436,0,44.4,25,86,3.49,86,0.1,1968.04,3118366,6.5,6.4,0.636,3.271085447
49,75.5,136,2017,0,13,10,16,0,7.84,0,0,47.7,0,86,4.53,99,0.2,15194.99,127445,3.3,3.3,0.784,3.728270376
50,74.3,136,2016,0,131,140,122,0,8.56,2422.999774,0,47,0,96,5.54,99,0.2,14434.89,127445,3.3,3.3,0.782,3.728270376
51,73.4,136,2015,0,133,134,132,0,8.58,1991.430372,0,46.4,0,98,5.33,99,0.2,13691.85,127445,3.3,3.3,0.781,3.728270376
52,77.9,136,2014,0,134,124,144,0,8.18,2156.229842,0,45.7,0,97,5.39,98,0.2,14073.3,127445,3.3,3.3,0.778,3.714835124
53,74.5,136,2013,0,136,132,140,0,7.84,1810.875316,0,45.1,0,99,5.65,99,0.1,13360.87,127445,3.3,3.3,0.782,3.754996671
54,78.8,136,2012,0,138,142,134,0,7.84,1983.956937,0,44.4,0,99,5.63,98,0.1,13582.1,127445,3.3,3.3,0.783,3.754996671
55,77.1,136,2011,0,14,14,14,0,7.82,149.3587355,0,43.8,0,98,4.86,99,0.1,1469.96,127445,3.4,3.3,0.788,3.768288736
56,74.5,136,2010,0,142,138,146,0,8.27,180.7762695,0,43.2,0,99,4.69,99,0.1,1650.12,127445,3.4,3.3,0.786,3.794733192
57,76.1,136,2009,0,144,144,144,0,8.64,257.9665308,0,42.6,0,98,4.27,99,0.1,15962.57,127445,3.4,3.3,0.781,3.807886553
58,75.4,136,2008,0,145,146,144,0,8.93,216.3146941,0,42,0,99,4.34,99,0.1,14251.32,127445,3.4,3.4,0.773,3.834057903
59,73.7,136,2007,0,147,144,150,0,8.15,1455.608186,0,41.4,0,98,4.41,99,0.1,12736.57,127445,3.5,3.4,0,0
60,72.3,136,2006,0,149,156,142,0,7.28,22.86295206,0,4.8,0,97,4.21,97,0.1,1515.18,127445,3.5,3.4,0,0
61,78.1,136,2005,0,151,160,142,0,7.16,1158.065259,0,4.1,0,99,4.53,99,0.1,10908.6,127445,3.5,3.5,0,0
62,73.4,136,2004,0,153,148,158,0,7.21,927.4075855,0,39.5,0,93,4.41,98,0.1,10513.12,127445,3.6,3.5,0,0
63,74.8,136,2003,0,154,164,144,0,7.51,163.7676978,0,38.9,0,99,4.48,97,0.1,10481.13,127445,3.6,3.5,0,0
64,79,136,2002,0,156,162,150,0,7.27,1127.74347,0,38.2,0,96,4.13,95,0.1,11060.18,127445,3.7,3.6,0,0
65,75.2,94,2017,0,116,116,116,8,7.93,0,0,62.8,9,93,6.68,94,0.1,15083.18,43417765,1,0.9,0.826,4.159326869
66,73.9,94,2016,0,118,116,120,8,7.93,847.3717463,1,62.2,9,92,4.79,94,0.1,13714.69,42981515,1,0.9,0.825,4.159326869
67,74.6,94,2015,0,119,120,118,8,8.28,1001.796332,0,61.6,10,99,4.99,94,0.1,14533.83,42539925,1,0.9,0.823,4.159326869
68,79.1,94,2014,0,12,12,12,9,8.35,1133.558003,2,61,10,99,5.2,91,0.1,14526.14,4296739,1,0.9,0.822,4.147288271
69,75.8,94,2013,0,12,10,14,9,8.11,1504.329462,3,6.4,10,93,5.89,91,0.1,14254.22,41656879,1,0.9,0.816,4.135214626
70,74.9,94,2012,0,121,112,130,10,8.15,187.610955,17,59.8,11,95,6.55,94,0.1,1429.42,41223889,1,0.9,0.802,4.098780306
71,77.9,94,2011,0,126,126,126,10,8.33,1398.042623,3,59.2,11,97,7.63,94,0.1,9140.73,479947,1,0.9,0.794,4.062019202
72,74.3,94,2010,0,126,118,134,10,8.41,1413.73543,0,58.6,11,94,6.66,93,0.1,10027.76,4382389,1,0.9,0.792,4.037325848
73,74.7,94,2009,0,129,132,126,10,8.16,1105.659031,0,58,12,92,6.49,91,0.1,8056.85,3997224,1.1,0.9,0.788,4.037325848
74,74.4,94,2008,0,127,126,128,11,7.75,961.1774676,0,57.5,12,92,6.68,91,0.1,6584.21,3955889,1.1,0.9,0.782,4.01248053
75,76.7,94,2007,0,127,124,130,11,7.53,96.16653429,0,56.9,12,95,6.85,98,0.1,646.11,39145488,1.1,1,0.78,4.037325848
76,72.2,94,2006,0,13,10,16,11,7.63,719.3663797,0,56.3,12,91,6.84,98,0.1,4761.76,38728696,1.1,1,0.775,4.037325848
77,74,94,2005,0,137,126,148,11,7.62,57.58467352,0,55.7,13,95,8.22,96,0.1,373.45,3839379,1.2,1,0.77,4.049691346
78,72.6,94,2004,0,138,134,142,12,7.81,470.1869145,0,55.1,13,94,8.31,93,0.1,2888.7,3788937,1.2,1,0.776,4.037325848
79,74.5,94,2003,0,138,138,138,12,7.76,123.0128671,0,54.6,13,85,9.38,83,0.1,803.82,3747159,1.2,1.1,0.771,3.949683532
80,71.7,94,2002,0,137,138,136,12,7.68,1349.025282,6,54,14,88,9.21,83,0.1,8589.59,3757452,1.2,1.1,0.764,3.872983346
81,73.8,15,2017,0,118,112,124,1,3.91,0,33,54.9,1,96,4.56,94,0.1,414.01,291695,2.1,2.2,0.741,3.563705936
82,73.4,15,2016,0,12,12,12,1,3.91,295.6087143,13,54.1,1,95,4.48,93,0.1,4474.08,29622,2.1,2.1,0.739,3.563705936
83,75.6,15,2015,0,123,116,130,1,3.79,279.4290812,10,53.3,1,96,4.55,95,0.1,4304.82,289359,2.1,2.1,0.736,3.563705936
84,73.5,15,2014,0,121,118,124,1,3.89,274.1526986,0,52.6,1,96,4.48,95,0.1,4127.03,2881922,2,2.1,0.732,3.563705936
85,75.7,15,2013,0,128,124,132,1,4.09,260.9963826,0,51.9,1,96,3.71,95,0.1,3950.22,2875581,2,2.1,0.729,3.563705936
86,73,15,2012,0,132,132,132,1,4.23,224.3212014,2,51.2,1,96,4.56,94,0.1,3604.59,2877311,2,2.1,0.72,3.507135583
87,72.6,15,2011,0,137,136,138,1,3.96,201.1855461,0,5.7,1,94,4.55,93,0.1,3353.09,2888584,2,2.1,0.725,3.449637662
88,71.5,15,2010,0,14,14,14,1,3.96,2.8888979,0,5.1,1,91,3.8,89,0.1,46.22,29822,2,2.1,0.721,3.507135583
89,77.4,15,2009,0,132,128,136,1,3.99,44.57219966,1,49.7,1,9,4.31,88,0.1,3515.55,293356,2,2.1,0.707,3.420526275
90,74.4,15,2008,0,141,138,144,1,4.01,244.5352767,137,49.2,1,87,4.58,87,0.1,2417.29,29585,2,2.1,0.692,3.346640106
91,69.1,15,2007,0,137,130,144,1,4.25,20.21822828,2281,48.8,1,92,5.25,9,0.1,1841.01,2981259,2,2.1,0.679,3.301514804
92,77.5,15,2006,0,132,130,134,1,3.81,97.74087744,1783,48.4,1,93,5.5,91,0.1,1335,3612,2,2.1,0.668,3.301514804
93,70.9,15,2005,0,134,134,134,1,3.03,7.341493148,4,48.1,1,96,5.56,94,0.1,104.35,31786,2,2.1,0.657,3.286335345
94,73.2,15,2004,0,134,130,138,1,2.86,57.17810403,40,47.8,1,96,5.4,94,0.1,877.25,333897,2.1,2.1,0.645,3.286335345
95,70.5,15,2003,0,141,142,140,1,2.86,53.19373012,69,47.4,1,97,5.94,94,0.1,777.77,35655,2.1,2.1,0.644,3.33166625
96,70.5,15,2002,0,142,142,142,1,2.9,32.75626853,15,47.1,1,96,6.25,93,0.1,697.47,369588,2.1,2.2,0.639,3.346640106
97,71.1,128,2017,0,118,118,118,5,0.73,0,0,52.5,6,98,5.37,96,0.1,61.95,9649341,2.8,2.9,0.758,3.563705936
98,72.6,128,2016,0,119,122,116,5,0.01,306.1824313,0,51.5,6,97,6.4,94,0.1,8838.26,953579,2.8,2.9,0.752,3.492849839
99,73.5,128,2015,0,121,124,118,5,2.14,275.6514934,164,5.6,6,96,5.54,93,0.1,8820.85,941681,2.8,2.8,0.745,3.449637662
100,71,128,2014,0,123,124,122,5,0.01,285.6103912,0,49.7,6,92,5.37,89,0.1,8395.9,9295784,2.8,2.8,0.742,3.435112807
101,73.6,128,2013,0,125,124,126,5,1.98,263.142699,0,48.8,6,91,5.1,87,0.1,8052.45,917382,2.8,2.9,0.741,3.420526275
102,73.9,128,2012,0,13,12,14,5,1.98,246.5686008,0,48,6,85,5.33,81,0.1,6544,954332,2.8,2.9,0.737,3.420526275
103,81.1,128,2011,0,132,132,132,6,2.1,22.48638351,0,47.3,6,84,5.85,81,0.1,554.73,8947243,2.8,2.9,0.728,3.405877273
104,75,128,2010,0,141,140,142,6,1.18,206.2616134,5,46.6,6,85,4.37,81,0.1,6243.59,87634,2.8,2.9,0.719,3.405877273
105,73.1,128,2009,0,14,14,14,6,1.02,176.0107106,0,45.9,7,81,5.1,79,0.1,4313.61,85813,2.8,2.9,0.708,3.405877273
106,68.3,128,2008,0,154,148,160,6,0.85,105.6337264,222,45.3,7,8,6.17,78,0.1,2770.72,848455,2.9,2.9,0.682,3.271085447
107,69.7,128,2007,0,162,174,150,6,0.73,81.28883085,1238,44.7,7,79,7.86,75,0.1,1767.83,839185,2.9,3,0.675,3.346640106
108,67.3,128,2006,0,154,146,162,6,0.62,8.59680496,827,44.2,8,78,7.92,77,0.1,162.64,8365,3,3,0.668,3.31662479
109,65.4,128,2005,0,154,162,146,7,0.55,42.41491183,1978,43.6,8,79,6.56,77,0.1,989.68,82341,3,3,0.659,3.286335345
110,69.9,128,2004,0,146,144,148,7,0.55,39.33253687,4353,43.1,9,8,4.47,76,0.1,855.39,817195,3.1,3.1,0.651,3.255764119
111,67.6,128,2003,0,151,146,156,8,0.51,4.104190077,574,42.6,10,77,4.48,77,0.1,82.53,81112,3.1,3.1,0.642,3.224903099
112,63.2,128,2002,0,16,16,16,9,0.65,35.09462644,210,42.1,11,75,4.67,76,0.1,734.69,8486,3.2,3.1,0.636,3.178049716
113,73.7,97,2017,0,69,74,64,0,1.99,0,0,63.6,0,98,3.79,98,0.1,25411.54,127445,6.2,6.1,0.823,3.807886553
114,77.7,97,2016,0,7,6,8,0,1.57,367.2556742,46,62.9,0,98,4.98,98,0.1,27981.38,127445,6.1,6,0.82,3.807886553
115,78.6,97,2015,0,7,6,8,0,1.65,3.968695982,0,62.2,0,99,4.69,99,0.1,281.33,127445,6.1,6,0.815,3.807886553
116,77.2,97,2014,0,71,72,70,0,1.7,2211.215778,0,61.5,0,99,4.37,99,0.1,26487.29,127445,6.1,6,0.812,3.807886553
117,76.9,97,2013,0,76,74,78,0,1.66,197.7734681,0,6.8,0,99,3.4,99,0.1,2554.86,127445,6.1,6,0.812,3.794733192
118,75.5,97,2012,0,73,70,76,0,1.93,266.7696122,0,6.1,0,99,3.64,99,0.1,3048.8,127445,6,5.9,0.81,3.794733192
119,76.9,97,2011,0,74,76,72,0,1.95,332.9347646,3,59.3,0,97,3.79,98,0.1,21679.47,127445,6,5.9,0.814,3.794733192
120,74.9,97,2010,0,76,78,74,0,2,231.5478912,2,58.5,0,97,3.17,97,0.1,2651.67,127445,6,5.9,0.815,3.794733192
121,73.9,97,2009,0,77,76,78,0,2,278.3602806,7,57.6,0,97,3.8,97,0.1,3334.37,127445,6.1,5.9,0.813,3.794733192
122,77.9,97,2008,0,79,74,84,0,2.1,170.7374027,3,56.8,0,98,3.8,98,0.1,2170.55,127445,6.1,5.9,0.81,3.768288736
123,76.8,97,2007,0,81,80,82,0,2.05,1553.468944,4,56.1,0,98,3.16,98,0.1,20114.28,127445,6.1,5.9,0.806,3.741657387
124,76.1,97,2006,0,83,78,88,0,2.16,1380.228095,11,55.6,0,98,3.37,98,0.1,17748.05,127445,6.1,5.9,0.803,3.728270376
125,73.3,97,2005,0,85,82,88,0,2.16,1214.558167,12,55.2,0,97,3.74,97,0.1,15928.63,127445,6.1,5.9,0.798,3.701351105
126,73,97,2004,0,87,82,92,0,1.99,106.4303336,8,55,0,98,3.89,98,0.1,1469.81,127445,6.2,5.9,0.796,3.674234614
127,72.4,97,2003,0,9,8,10,0,1.95,1150.418063,5,54.8,0,99,3.8,99,0.1,14412.4,127445,6.2,6,0.794,3.646916506
128,76,97,2002,0,92,84,100,0,2.15,167.7270642,6,54.5,0,97,3.51,97,0.1,15272.71,127445,6.2,6,0.786,3.633180425
129,71.6,184,2017,0,129,130,128,92,0.01,0,240,18.3,113,97,2.8,97,0.1,135.7,1612886,17.9,18.3,0.575,3.193743885
130,69.4,184,2016,0,132,136,128,98,0.01,10.44640334,289,17.7,121,97,2.82,97,0.1,206.71,15945279,18.1,18.6,0.57,3.16227766
131,67.6,184,2015,0,135,138,132,104,0.01,52.82986467,237,17,130,96,2.88,96,0.1,1066.12,157571292,18.3,18.8,0.565,3.16227766
132,78.6,184,2014,0,137,142,132,111,0.01,59.2589257,1986,16.4,139,94,3.8,94,0.1,959.1,15572753,18.5,19,0.557,3.146426545
133,73.8,184,2013,0,14,14,14,118,0.01,62.34988484,5625,15.8,150,96,3.16,96,0.1,936.08,153911916,18.7,19.2,0.545,3.065941943
134,70.3,184,2012,0,142,140,144,126,0.01,62.65945432,788,15.2,161,94,3.6,94,0.1,848.59,15214912,18.9,19.4,0.535,2.983286778
135,70.2,184,2011,0,144,146,142,135,0.01,53.26400378,718,14.6,173,97,2.91,97,0.1,762.86,1545478,19.1,19.7,0.523,2.898275349
136,66.6,184,2010,0,147,146,148,144,0.01,42.48865034,2660,14,186,96,2.85,96,0.1,689.67,14885814,19.3,19.9,0.52,2.93257566
137,72.8,184,2009,0,151,154,148,154,0.01,46.36536703,2924,13.5,201,96,2.8,94,0.1,606.65,147139191,19.5,2.1,0.513,2.93257566
138,65.7,184,2008,0,152,154,150,164,0.01,42.3304549,6192,13,215,95,2.8,94,0.1,553.86,1453684,19.7,2.3,0.506,2.898275349
139,69,184,2007,0,155,162,148,174,0.01,38.05462002,25934,12.5,231,94,2.68,93,0.1,542.25,14343111,19.9,2.5,0.499,2.863564213
140,66.5,184,2006,0,158,158,158,185,0.01,4.11469667,9743,12,247,88,2.62,99,0.1,52.37,14137489,2.1,2.7,0.491,2.846049894
141,67.5,184,2005,0,161,162,160,196,0.01,35.48458957,4067,11.6,264,9,2.51,87,0.1,484.67,139191,2.3,2.9,0.484,2.810693865
142,67.5,184,2004,0,164,166,162,207,0.01,0.397228764,3484,11.2,280,83,2.59,83,0.1,5.17,1366667,2.5,21.1,0.476,2.774887385
143,67.8,184,2003,0,168,164,172,219,0.01,3.395069781,4414,1.8,298,85,2.47,85,0.1,47.71,1341716,2.7,21.3,0.468,2.738612788
144,65,184,2002,0,173,168,178,231,0.01,3.69633051,5098,1.4,316,83,2.33,82,0.1,51.11,131581243,2.9,21.5,0.459,2.701851217
145,72.6,46,2017,0,98,104,92,0,8.41,0,0,54.5,0,97,5.82,97,0.1,17424.78,127445,3.8,3.7,0.794,3.911521443
146,77.3,46,2016,0,1,0,2,0,8.82,294.9056584,0,53.7,0,95,7.47,94,0.1,17202.83,127445,3.8,3.7,0.793,3.911521443
147,77,46,2015,0,11,10,12,0,8.74,263.0372838,0,53,0,91,7.57,91,0.1,17329.52,127445,3.8,3.8,0.792,3.911521443
148,72.4,46,2014,0,12,12,12,0,8.61,260.0043858,0,52.2,0,88,7.43,87,0.1,17231.06,127445,3.8,3.8,0.785,3.911521443
149,74.1,46,2013,0,14,14,14,0,8.51,173.9825629,0,51.4,0,91,6.67,91,0.1,17398.26,127445,3.8,3.8,0.78,3.937003937
150,79,46,2012,0,16,16,16,0,8.41,154.9630863,0,5.7,0,9,6.17,86,0.1,1787.42,127445,3.8,3.8,0.781,3.974921383
151,76.2,46,2011,0,19,18,20,0,8.46,327.1618128,0,49.9,0,93,6.21,93,0.1,18506.12,127445,3.8,3.8,0.779,3.937003937
152,73.7,46,2010,0,111,112,110,0,8.95,25.52277112,0,49.2,0,85,6.1,85,0.1,1856.2,127445,3.9,3.9,0.775,3.911521443
153,75.8,46,2009,0,113,104,122,0,8.47,1641.30981,0,48.4,0,93,5.64,93,0.1,18437.98,127445,3.9,3.9,0.771,3.872983346
154,75.3,46,2008,0,115,116,114,0,8.39,181.5000856,0,47.7,0,85,5.27,84,0.1,17524.15,127445,4,3.9,0.766,3.847076812
155,71.4,46,2007,0,117,116,118,0,8.01,1311.440423,0,46.9,0,91,5.38,92,0.1,15930.73,127445,4,4,0.761,3.820994635
156,71.3,46,2006,0,119,118,120,0,7.68,166.0083443,0,46.2,0,93,5.71,93,0.2,14413.13,127445,4.1,4,0.757,3.794733192
157,74.7,46,2005,0,121,116,126,0,7.65,13.5139917,0,45.4,0,9,5.82,89,0.4,1375.97,127445,4.1,4.1,0.753,3.768288736
158,78.2,46,2004,0,123,114,132,0,7.59,133.099491,0,44.6,0,86,5.76,87,0.8,13076.44,127445,4.2,4.1,0.749,3.741657387
159,74.1,46,2003,0,125,124,126,0,7.38,138.1664627,0,43.8,0,93,5.47,84,0.7,12895.54,127445,4.2,4.2,0.75,3.741657387
160,75.4,46,2002,0,127,130,124,0,7.43,1140.615754,0,43,0,86,5.16,93,0.9,12956.28,127445,4.3,4.2,0.741,3.741657387
161,71.3,176,2017,0,196,204,188,0,13.94,0,2,62.3,0,99,6.44,99,0.1,6663.01,9489616,1.9,2,0.798,3.949683532
162,72.2,176,2016,0,199,196,202,0,13.94,1147.1114,64,61.7,0,97,5.69,97,0.1,9316.64,9474511,1.9,2,0.796,3.962322551
163,74.1,176,2015,0,23,22,24,0,14.66,1109.854619,16,61.1,1,98,6.7,98,0.1,8936.28,9465997,2,2,0.796,3.962322551
164,68.8,176,2014,0,194,200,188,0,16.35,91.70962117,10,6.5,1,98,5.1,98,0.1,777.55,9464495,2,2.1,0.793,3.949683532
165,74.3,176,2013,0,232,232,232,0,17.31,846.9113071,50,59.9,1,98,4.92,98,0.1,7302.08,9473172,2,2.1,0.787,3.937003937
166,78.9,176,2012,0,222,220,224,0,14.44,8.49409518,1,59.3,1,99,5.55,98,0.1,71,949583,2,2.2,0.78,3.937003937
167,68.9,176,2011,0,226,222,230,0,14.09,434.7985025,0,58.7,1,98,6.9,96,0.1,5797.31,956765,2.1,2.2,0.771,3.924283374
168,72.4,176,2010,0,224,232,216,1,14.67,501.8056141,0,58.2,1,98,5.95,97,0.1,7141.33,9527985,2.1,2.3,0.755,3.885871846
169,68.5,176,2009,0,226,224,228,1,14.22,464.077513,1,57.7,1,9,6.44,95,0.1,5303.74,956953,2.2,2.3,0.739,3.860051813
170,73,176,2008,0,243,236,250,1,12.6,364.426052,149,57.2,1,97,6.34,99,0.1,4310,964924,2.2,2.4,0.723,3.820994635
171,69.9,176,2007,0,252,254,250,1,11.01,45.65007798,1,56.7,1,98,6.89,99,0.1,3501.92,9663915,2.3,2.5,0.713,3.794733192
172,67.4,176,2006,0,247,230,264,1,12.05,42.33443901,2,56.2,1,99,6.59,99,0.1,2663.74,973146,2.4,2.5,0.703,3.754996671
173,66.9,176,2005,0,253,246,260,1,11.17,23.83578594,21,55.8,1,53,6.59,5,0.1,2037.87,9796749,2.5,2.6,0.695,3.728270376
174,65.1,176,2004,0,262,258,266,1,12.23,145.4233629,14,55.3,1,99,6.47,99,0.1,1656.91,9865548,2.5,2.7,0.687,3.687817783
175,67.1,176,2003,0,254,244,264,1,10.74,14.06141699,45,54.9,1,99,6.62,99,0.1,1393.7,9928549,2.6,2.7,0.681,3.646916506
176,70.1,176,2002,0,247,254,240,1,12.98,24.24947846,21,54.4,1,99,6.13,99,0.1,1429.44,997961,2.7,2.8,0.675,3.619392214
177,78.5,2,2017,1,74,70,78,0,11.01,0,47,63.7,1,99,8.29,99,0.1,4879.7,11274196,1,1,0.895,4.074309757
178,89.6,2,2016,1,76,80,72,0,12.6,7163.348923,70,63.4,1,99,1.59,99,0.1,53132.12,112957,1,1,0.89,4.037325848
179,86,2,2015,1,77,82,72,0,11.77,702.359357,39,63,1,99,1.57,99,0.1,5209.55,11182817,1,0.9,0.889,4.037325848
180,84.3,2,2014,1,78,80,76,0,10.08,664.4738975,109,62.6,1,99,1.54,99,0.1,5011.52,11128246,0.9,0.9,0.886,4.024922359
